bucket_center,username,rating,games_played
200,Polpis85,194,2919
200,adam_backer4,196,397
200,M4Z33333,196,215
200,lillumina,197,707
200,alfre97,201,2651
200,kinecelaron,202,122
200,ZoZuLyA2,207,429
300,Tackled123,291,117
300,sami0000aaaa,295,1711
400,squeeze_in_chess_on_break,390,2086
400,val5369,390,1313
400,Halis24,391,10350
500,leda27,492,7063
500,ryan_n12,509,2825
600,cavallomino,596,1873
600,ErnestoRQPe,597,1362
600,grzwrz,600,12974
600,Emperor1241,602,931
600,Mamjiji07,605,171
600,GranTrabajador,607,7651
600,cs190,609,183
700,alpcolak1,691,1826
700,gov24,695,15532
700,ZaKaLeLe,696,823
700,dhia1312,697,203
700,Patrickzivale,698,1640
700,kckeith13,700,86495
700,Eliseo001,702,942
700,jtlagos,709,5217
800,Tl0Sam,791,3202
800,k-m89,792,1939
800,Devilek,794,4626
800,isolde235,794,1171
800,ChainkaArt,798,7040
800,bvbsdm,800,2666
800,user100111,800,4450
800,Jossue88,805,3989
800,Marcos5g5,809,1024
800,poiuyter,810,3387
900,musukuma06,894,1241
900,sana1155,894,2947
900,WilliamAJohann,897,22953
900,23claude,901,1321
900,sekaw4n,903,932
900,DanneskjoldL,904,2916
900,MarvinTerrell,904,12008
900,pratenthu,905,3757
900,david0209,908,1424
900,TheGroov3,909,724
1000,Fleece200,990,2953
1000,QqqFc,991,13111
1000,pedryabs,993,5532
1000,Umar_Dz,994,757
1000,nick02rus,998,1177
1000,mt-dz,1001,1409
1000,eijnebvil,1002,1184
1000,Kuper1982,1007,1122
1000,myk3liling,1007,567
1000,italolm,1009,2275
1100,ivok13,1091,1709
1100,saahu1,1091,465
1100,Suited_Connector,1097,12951
1100,Welamaza-Moyo,1099,2556
1100,Fleet_Snowfluff,1102,511
1100,eliaselias96,1103,5407
1100,Hima6023,1103,368
1100,Peacefulm7md,1103,607
1100,juanDgonza,1110,2377
1100,nazilaakbari,1110,1762
1200,MIYANTHATH,1190,10785
1200,bulat82777,1191,3780
1200,Bulba_free,1197,2413
1200,nochillz,1199,136
1200,PanemEtMates,1200,12157
1200,wgavit,1203,2717
1200,strafatto88,1204,4783
1200,Rishabhbhu89,1205,3792
1200,daiallangassepp,1206,151
1200,Olegchess2,1210,6189
1300,tnh2,1297,26240
1300,tejassalkade,1300,985
1300,LucarioGambit,1301,464
1300,PolpoDomare,1303,7635
